Português,Tupi Antigo
"Vem para espantar o diabo, para que não me dane","Îori anhanga mondyîa, ta xe momoxy umẽ"
Com ele honrando-te,I ndibé nde moetébo
Ocupa-me tu,Xe pûaî îepé
meu filho que gerei,xe ra'yra xe remimonhanga
Vou como catador de pedras,Asó itá piaramo
"Com uma lança espetaram seu flanco, causa de verterem imediatamente dele água e seu sangue",Minusu pupé iî yké kutuki aûnhenhẽ 'y sugûy abé i xuí i 'ẽaûama
"O cauim transbordante nas igaçabas, depois disso, atrai-os","Ygasápe kaûĩ-tuîa, a'e ré, îamomotá"
roda de madeira,ybyrá-babaka
"São muito molestos, certamente, quando a lua está escura, os tropeços de nossa caminhada","Iîabaíb-eté nhẽ rakó îasy putuneme, asé atá mysakanga"
Viram seus discípulos a vinda dele?,Osepîakype i boîá tura?
"Isso dizendo, eu não estou tíbio","Aîpó gûi'îabo, n'akyî ixé"
Sofrerão algo estando ali?,Oîporarápe mba'e amõ a'epe oîkóbone?
Açoutei-lhe o irmão,Aîtyby-nupã
refletindo sobre suas maldades,onheangerekóbo o angaîpagûera resé
eia!,ne'ĩ ne'ĩ!
Querendo revirar minha casa,Xe roka pobu-potá
"boquitorto, homem da boca torta",abaîuru-apẽ
A respeito de quê conversamos?,Ma'e resé îandé mongetáû?
Eu sou um circuncidado,Xe api'a
Meteste a mão nas partes erógenas de teu companheiro?,Erepo'ẽpe nde rapixara rapupé resé?
Eu estou descoroçoado,Xe akangûyr
"Sapecar-te-ei, assar-te-ei","Oroapek, oroesyne"
"O que nossos avós quiseram ver, sem resultado, veio mesmo",Îandé ramỹîa remiepîá-potá tenhẽ our é
a que é alforriada,i mokunhãmbyra
Eu estou opilado,Xe apong
Esses estão implícitos nos que dizem como?,Marã e'iba'e pupépe aîpoba'e ruî?
Eis que a noite toda ele não dormiu para ficar perturbando os índios!,"Pysaré kó i kere'ymi, apŷaba pobu-pobu!"
Se tivesse ido hoje,Kori meémo asó
"Está molestando as pessoas, ficando a confundir as aldeias",Oporomoaîu oîkóbo taba moapaîugûá-îugûabo
"Aproximando-me da morte, meus pecados antigos e grandes farei sair","Te'õ rerobyka é, xe angaîpá-tubixagûera amosẽne"
Não deu certo minha ida,I rambûer xe só
de madrugada,ka'amutumo
Temos coisas comuns,Îarekó o îomba'e
Levando uma outra semelhante a ela,Sapixara rerasóbono
teus atos recentes,nde rekó-pysasu
"Levou sua mãe e seus discípulos sobre o cume do monte chamado ""das Oliveiras""",Ybytyra Olivete seryba'e apyra 'arybo o sy o boîá rerasóû
lugar onde estará teu filho,nde membyra rendaûama
Fizeste incisões em teu filho quando a lua começou a sair?,Eresaírype nde ra'yra îasy semypyreme?
Ficaste quebrando a cabeça de teu filho antes de o abortar?,Ereîakangá-ngápe nde membyra i akyrar-y îanondé?
Fi-lo emergir comigo,Arobur
chumbada do anzol,pindá posyîtaba
"Estava longe tua lembrança das coisas, estando a conversar contigo mesmo?","Oîkó kûepe mba'e resé nde ma'enduara, enhemongetábo ekupa?"
ele mesmo,Ixé aé - Eu mesmo A'e aé
Abre a porta de tua casa,Esokendabok nde roka
por que seria que? por que razão haveria de?,marãpemo?
"Todos cercaram Nosso Senhor, achegando-se a ele",Opá Îandé Îara moîari sesé osyka
Pôr o bispo em nossa testa o óleo sagrado,Asé sybápe abaregûasu nhandy-karaíba nonga
Devolveu seu pagamento aos príncipes,Oîme'eng-îeby sepypûera morubixabetá supé
Honra teu pai e tua mãe,Eîmoeté nde ruba nde sy abé
osso de tembetá,metara kanga
aquele outro,akó amõaé
A aldeia está assentada de comprido,Opukubo taba reni
"Sobre grelhas de moquear, de ferro, assaram-no",Moka'ẽ itá îurá 'arybo sesyri
"E por outra parte, semelhantemente, o próprio mar será mais terrível do que é seu costume, as ondas fazendo grande estrondo",Kokoty paranã aé rame'ĩ o abaetéramo erimba'e gûekoagûera sosé yapenunga ryapugûasuramo
"margem de rio, praia, ourela de mar ou rio",y-embe'yba
"Ainda que os libertes, retirá-los-ei de tua mão","Ereîpysyrõ îepéne, nde pó suí anosẽne"
Estão sempre cheias as igaçabas,Tynysẽ memẽ ygasaba
"Mas sempre, com certeza, a vossas almas querem bem, guiando-as","Memẽ-te, nipó, pe 'anga amotá, i pokoka"
"Toma-nos a dianteira sempre o diabo, ameaçando-nos","Îandé rokesỹ memẽ Anhanga, îandé momboîa"
Ficaram fazendo ferimentos em seu corpo todo?,Seté îakatupe ybŷá i moperé-perebi?
Que não esteja pelas casas para afrouxar nossas almas,T'oîkó umẽ oka rupi oré 'anga monguébo
Não sabes que Deus lançou neste mundo também tudo o que a gente sofre costumeiramente?,Nd'ereîkuabype Tupã opakatu ikó 'ara pupé îandé remimborará-tyba abé seîtykagûera?
Eu estou feliz por tua ida,Xe roryb nde só resé
Rodeei-o,Anhaman
Por acaso todos os que estavam ali ficaram a injuriá-lo?,Opabenhẽ serã erimba'e a'epe tekoara iî a'o-îa'oû?
"Transgride também o homem aquela palavra de Deus invocando para seu próximo, bem em seu coração, o diabo ou a morte ou Jurupari?",Oîaby bépe abá aîpó Tupã nhe'enga o py'ape-katu o apixara supé Anhanga koîpó te'õ koîpó Îurupari rekyîa?
"Fazemos oferendas às sepulturas, pondo algumas coisas",Îatyby-poî ma'e amõ nonga
"Ao fustigar o sol a terra, eu vim","Ara yby sokeme, xe ruri"
Como as coisas devagar,A'é umanĩ mba'e gûabo
Envergonhaste à toa tua esposa?,Ereîmomara'a tenhẽpe nde remirekó?
Quanto foi o pagamento?,Mbobype sepy?
Os cristãos não eram muitos,Karaíba na setáî
"Meus guardiães opor-se-ão a vós, como de costume",Xe rarõana opoapypyk îandune
"Tenhamos, de fato, as coisas boas, apartando-as do que é mau",Îarekó é rakó mba'e-katu i poxyba'e suí i mouruébo
tão somente uma vez,oîepé nhõngatu
"Ó meu filhinho, em um momento desapareceste de mim!","Xe membyrĩ mã, korite'ĩ-aíb-eté erekanhem xe suí"
O que tem a bem-aventurança é o que não agride,Tekokatueté rerekoara onherane'ymba'e
Eu sou fedorento,Xe nem
Pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?,Oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?
enxota-os de vossas almas,pe 'anga suí i mondóû
Não há modo de contá-los,N'i papasabi
Entreouvi tuas palavras,Asendub-aíb nde nhe'enga
Invocando o Anhanga ou a morte ou o Jurupari,Anhanga koîpó te'õ koîpó Îurupari rekyîa
Tu te entregaste ao imaginar em teu sono que um homem fazia sexo contigo?,Erenhemoaûîépe nde kerype nde resé abá rekó mo'angeme?
Faço-me estalar as mãos,Aîepó-mopiririk
Vou para arrancar lenha,Asó îepe'abá
Dizendo a um canto de pássaro ou a um urro de onça que são agouros,Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
Tenho jeito de o saber,Aîkugûab-arõan
passagem costumeira de rio,Y-asapá-tyba
"Levaram-no para um certo palácio, fazendo-o entrar consigo",Ogûerasó amõ okusupe seroîkŷabo
lume das águas,y rendyîaba
Os opostos daqueles pecados assim se enunciam,Aîpó tekoangaîpaba robaîara nã e'i
Confessa bem a nós que és o filho de Deus,Eîmombe'u-katu Tupã ra'yramo nde rekó orébe
de que parte? de que lado?,marãngoty suí?
O que tem relações sexuais com uma solteira transgride muito a palavra de Deus,Mene'yma resé oîkoba'e oîaby-eté Tupã nhe'enga
"Como um cão, atacou-me",Îagûara rame'ĩ xe repenhani
Eu sou um fujão,Xe îababixûer
Afago-lhe a cabeça,Aî'apixyb
milho de que se faz pão,abati-tinga
"Eis meus chifrões, meus dentes","Kó xe 'akusu, xe rãnha"
Compadece-te de minha alma,Eporeaûsubok xe 'anga
Estão queimando para sempre como pena de dizerem isso somente em suas bocas,Okaî oupa aûîeramanhẽ o îurupe nhote aîpó o 'eagûera repyramo
Não querendo repetir seu pecado que ele detestava,O angaîpagûera o emieroŷrõagûera reroîeby-potare'yma
Engolir-me-á por aí alguma cobra grande,Xe mokõ kûepe mboîusu amõne
Agradando-se com o que o hospeda,O apysykamo o momytasara ri
"Foi, porventura?",Osó ruã-tepe é?
a descida dele,serogûeîypaba
Meu entendimento todo fiz desaparecer,Xe tekokuaba opá amokanhem
"na ponta, no punho da rede",apy anhãî
Que se lembre bem de que Deus branqueou sua alma,T'onhemoma'enduá-katu Tupã o 'anga momorotingûera resé
O cauim está pela metade da vasilha somente,Kamusi ku'a rupi nhote kaûĩ reni
Fá-los-ei voar comigo,Arobebéne
"Tendo inveja por seu próximo ter coisas boas, entristecendo-se por isso","O apixara mba'e-katu rerekó moasŷabo, sesé onhemoangekoaípa"
Para nos honrar os índios fazem festa,Îandé moetébo apŷaba nhemosaraî
"Ah, tão somente eu, na verdade, sofrerei isto!",Xe nhõngatueté koba'e aîporaráne mã!
Eis que vou,Asó ã
Deixei ontem minha casa,Aseîá kûesé xe roka
"Sendo isso assim como é, vós também não reconheceis que vos enterrarão?",Aîpó e'ymetépe peẽ bé ybŷa pe tymagûama na peîkuabi?
Não os temos desde nossos avós,- Marãpe pe rubixabetae'ym? - Nd'oroerekóî nhẽ oré ramuîa abé - Por que vós não tendes muitos reis?
o que tem beiço grande,sembegûasuba'e
"vão oco de alguma coisa, o vazio do meio de alguma coisa",apyterybỹîa
ir para a guerra,marãmonhangápe só
Perdendo o entendimento por causa de bebedeira,Sabeypora suí 'ara mokanhema
Com sabão esfreguei-o,Itayîuîa pupé aîkytyk
Fi-lo enriquecer,Aîmomba'e
"Antes dessas mortes, um certo homem muito mau, chamado Anti-Cristo, virá, exaltando-se",Aîpó te'õ îanondé irã amõ abá-angaîpabeté Anti-Cristo seryba'e ruri onhemoetébo
A gente é parecida à criança que não tem pecado?,Pitanga i angaîpabe'ymba'e rapixaramo nhẽpe asé rekóû?
Faço-a soar,Aîmimby
"Com um neto ou uma neta, com algum descendente não pode ninguém se casar",O emiminõ koîpó o emiarirõ amõ îeapyká resé nd'e'ikatuî abá omendá
"Aproximando-me da morte, meus antigos e grandes pecados farei sair","Te'õ rerobyka é, xe angaîpá-tubixagûera amosẽne"
Um frio que faz as pessoas tremerem muito,Ro'y oporomoryryîeteba'e
Ó coisa fedorenta!,Mba'enem-y îu!
Eu estou roxo furta-cor,Xe roby-kanugûá
É natural dele,Sekoaba nhẽ
Ela é boníssima porque lhe abunda a virtude,"I angaturãngatueté, tekokatu o esemõneme"
"-Quem és tu? -Sarauaia, adversário antigo de franceses","-Abápe nde? -Saraûaîa, aîuruîubupîarûera"
Sua lei pôs ordem em nossa antiga vida má,Sekó omongaturõ îandé rekó-poxypûera
"Por isso mesmo Deus te repeliu, desde então o fogo para sempre queimando-te","Nd'e'i te'e Tupã nde pe'abo, a'epûerype tatá aûîerama nde rapŷabo"
"Desvirginaste alguma menina, furando-a?","Ereîmombukype kunhataĩ amõ, i mokûá?"
"Eis que era costume, então, dar nome às pessoas",Ã tekó a'ereme moreroka
Que será que a gente detestará?,Mba'epe asé ogûeroŷrõ ra'ene?
Ele é muito bom,I katu-pyryb
Aparei as pontas deles,Aîapyr-etab
Preparai-vos!,Peîemosako'i!
"Não tem limite, não tem fim","N'i sykabi, n'i papabi"
Outro dia o contarei mesmo,T'aîmombe'u é îrã
comer um ao outro,îo'u
"Somente desejando-a, nela tocando também","I potá nhote, sesé opokoka abé"
Tremeram após te matarem,Oryryî nde îuká ré
Acaso trouxeste muitas coisas?,Ereruretá serã?
"parida, mulher que gerou filhos",membyrasara
"A que ingere uma poção, querendo matar seu feto",O puru'a îuká-potá mosanga o'uba'e
"Sim, eis aqui também minhas garras","Îé, kó bé xe pûãpẽ"
Levanto-me,Abyr
Chegamos sucessivamente,Orosy-syk
"Ainda bem que não fui, pois",Aûîeté pakó xe soe'ymi é
Saiu para o pátio,Osem okarype
Dentro de tuas entranhas como criança estando,Nde ybỹîa pupé pitangamo oúpa
Que alegremos a Maria,Maria t'îambory
Eu sou alto,Xe puku
"Somente estas, na verdade, retirei dos malditos","Kó nhõ anosẽ, îepé, moxy suí"
Envolvendo com véus seu rosto,Aobybĩ pupé sobá ubana
Para a coutada do rei ele foi para cortar madeira,Morubixaba ybyragûype ahẽ sóû ybyrá 'apa
Lacei a perna dele,Asetymã-maman
Eu tenho as orelhas cortadas,Xe nambi-asyk
Eu tenho penduricalhos,Xe renembaî
Já agora deve ter vindo,Our ipó ko'yté
Eis que eu faço as pessoas estarem na bebedeira sempre,Ixé kó ka'u resé aporomoingó îepi
Não me desterres tu,Xe pe'a umẽ îepé
Imediatamente ficaram gritando,Aûnhenhẽ sasẽ-sasemamo
Cubro-o,Aîaob
Ao lado de sua mãe a criança está deitada,O sy posé pitanga ruî
Vem para nos arrancar o visgo,Eîori oré mongoka
"o que é morto, o que deve ser morto, o morto",i îukapyra
Ainda o faço,A'é byter i monhanga
indo eu de noite,putũ gûixóbo
"Embora não agisse ela velhacamente, bateste com o pau na tua esposa","Marani n'oîkóî îepé, ereropûar ybyrá nde remirekó resé!"
"Hei de dar ovas de peixe para ti, retribuindo","T'ame'ẽne pirá ruba endébo, ûiîepyme'enga"
Nomeia tudo,Esenõî mbá
Não é longe,N'apûéî
"cabeleira, peruca",agûera
Foi agora de primeira vez,Aramõ
Vou para fora,Asó kûeîpe
Hei de contar os pecados deles,T'aîpapáne i angaîpaba
Sobre a cruz pregando meu senhor,Krusá sosé nhẽ xe îara moîá
Alimentei-o rispidamente,Aîopoî-îeaseî
Não ouço tuas palavras,N'asendubi nde nhe'enga
Roupa branca põe na gente,Aó-tinga onong asé resé
Lançando fora a sujeira de minha alma,Xe 'anga ky'a reîtyka
"Este dia honramos Nele, os judeus agiram em conjunto, com pedras, ficando a atirar em Santo Estêvão, quebrando sua cabeça","Kó 'ara îamoeté I pupé îudeus itá reropotyrõû, Santo Estevão apîá-apîábo, i akanga kábo"
"Enfim, tendo-se vingado, obedeceram-me","Rumby oîeepyka, xe rapîá"
Apenas não me matou o terror ao nome da mãe de Deus,Sãî xe îukae'ymi Tupã sy rera abaîté
Vou mesmo castigar-te,A'e tenhẽ nde nupãmone
Vomitaste cauim quando te encheu?,Ereîmoîebyrype kaûĩ nde poesemõneme?
Não houve sangue em teu parto,N'i tybi tugûy nde membyrasápe
Que estejas prostrado no lugar de se fazerem sofrimentos,T'ereîub moreaûsuba monhangápe
homem soberbo,abá-poroîukaíba
Para quem a gente reza?,Abá supépe asé îeruréû?
"Vamos para assaltá-la, atacando pelas costas a mãe de Deus","Îasó sesé îapu'ama, Tupana sy kupe'apa"
"Ai, quem me dera ir com ele hoje!",Asó temõ kori ahẽ irũmo mã!
Moro com Pedro,Aîkó Pero irũnamo
Hei de obedecer bem a ele,Asapîakatupe ká
Em mim confiam,Xe resé oîerobîá
"São João criancinha, ao estar no ventre, ficou saltando","São João pitangĩ, tygépe o endápe opor-oporĩ"
"Conforme seu próprio pedido, na cruz o pregaram","Cruz resé i moîari, i îeruresabo é"
o que dá a eles a virtude,i xupé tekokatu me'engara
"Tu, em teus braços, Jesus ergueste","Endé, nde îybápe, Îesu eresupi"
Eu dou à luz,Xe membyrar
Que ele deseje muito a lei de Deus,T'oî'useî-katu Tupã rekó
"Mas foi, porventura?",Osó ruã-tepe é?
"Na casa de quem passaste, tomando-as [isto é, as coisas roubadas], antes de te esconderes?","Abá rokype erekûá, tá, nhemim-y îanondé?"
Eu sou velho,Xe ymûan
"o que está preso em ferros, o que está amarrado pelos pés",i pukusãmoinymbyra
"A poeira dos pés arranca de minha casa, tua pousada sempre","Eîpytybyrok xe roka, nde pytasaba îepi"
Que habitante do mundo há como tu?,Abápe 'ara pora oîkó nde îabé?
"Que disse Deus, vendo seu frouxo pudor?",Marã e'ipe Tupã i tĩîeraba repîaka?
Que sejais futuramente os que terão a verdadeira felicidade na nossa terra prometida,Ta peîkó irã mba'ekatu-eté rerekoaramo îandé retãme'engápe
Hei de ver tua face,T'asepîáne nde robá
Encurtei-o,Aîapûapyk
não querendo espaçar longamente a falta de sua confissão,o nhemombe'ue'yma mopa'ũ-muku potare'yma
"Lourenço tostado atou minhas mãos, queimando-me, oprimindo-me","Rorẽ-ka'ẽ xe popûá, xe rapŷabo, xe apypyka"
homem fugido,abá-kanhema
Nós estamos juntos,Oré apûanã
Ela requeima,Taî
"Daqui, talvez, passou para a Índia, terra dos indianos",Ké suí serã i asabi India tapyîtinga retãme
Temos algum remédio como meio de nos curarmos?,Îarekópe mosanga amõ îandé pûerasabamo?
O oposto da ira é a paciência,Nhemoŷrõ robaîara tosanga
"Quando tu vieste, já o tinha matado",Nde rureme aîuká umûan
Tendo alegria,Toryba rerekóbo
Hei de comer hoje seus braços,T'a'u kori i îybapûera
Feri-o,Aîkutuk
"Eis que a todos nós vence, como também já venceu os antepassados",Opá ã îandé moaûîéû tamyîpagûama moaûîé ymã îabé bé
Assa-me o Lourenço tostado,Xe resy Lorẽ-ka'ẽ
planejando maldades,tekomemûã momboîa
"o que é aumentado, multiplicado, etc",irumõmbyra
Eu não tenho anzol,Na xe pindáî
pano de linho,ybyraoba
Olhando detidamente para alguma que foi casada,Mendarûera amõ resé enhemosapysóbo
Matam,Îaîuká
Afligiu-se por se ter frustrado sua ida,O sorambûera resé sekotebẽû
Vi-o em meus sonhos,Xe posaûsupe asepîak
a que mata seu marido,o mena îukasara
Não estaremos mais aflitos,Nd'oroîkotebẽ béî xóne
Eu espirro,Xe atîam
Fiz oferenda para o pajé,Anhetanong paîé resé
princípio da compaixão,moroaûsubara 'yba
"Que rezem por mim a Deus como retribuição de eu os amar, de eu os honrar","T'otupã-mongetá xe resé ixé o aûsuba, ixé o moeté repyramo"
Morro eu próprio,Amanõ teé
"Se tivesses vindo, já o teria matado","Nde rurememo, aîuká umûãmo"
Com seu próprio irmão não pode ninguém se casar,O kybyra resé nd'e'ikatuî abá omendá
"Ele é lampeiro como uma onça, seguindo nosso rastro","I ara'a îagûara îá, îandé rakypûemboú"
Pus entradas nele,Aî'atybakã-moín
"Irra, gambá!","Erĩ, sarigûeîa é!"
Este dia deu para nós,Kó 'ara oîme'eng îandébe
Estejamos em união,Oîepegûasu t'îaîkó
Calcei-me os sapatos,Aîepyapasá-mondeb
Alimento muitos,Aîopoîusu
Eis que não obedeço a meu pai verdadeiro,N'asapîari kó xe rubeté
Veio também sua panela para que os cozinhe adiante de mim,"Oú bé senha'ẽpepó, t'omoîy xe renondé"
Jejuaste por causa da primeira menstruação de tua filha?,Ereîekuakupe nde raîyra nhemondy'ara resé?
"Buscando seu Senhor, ao chegarem os reis, alegrou-se teu coração","O îara reká, reîá mbasembápe sory nde py'a"
Nós nos igualamos um ao outro,Oronhomoîoîá
os que andam pelo caminho,pé rupi ogûataba'e
Não me mexo,N'amyĩ
Tiveste relações sexuais com algum sodomita?,Ereîkópe tebira amõ resé?
Eu sou magro,Xe angaîbor
Resvalou em mim o fulano com a espada,Xe apan ahẽ itaingapema pupé
Estou como mensageiro,Paresaramo aîkó
Jesus fez-te subir,Îesu nde rupiri
empobrecendo os índios,apŷaba mondyabó
Nós estamos amontoados,Oré atyr
"Num pano branco, por nossa causa, a imagem de seu rosto tomou",Aó-tinga pupé asé resé sobá ra'anga rari
